Simplified,Unicode (Simp.),Traditional,Unicode (Trad.),Pinyin,HSK Grade,JD Rank,JD Frequency,JD Percentile
开,24320,開,38283,kāi/qiān,1,94,377012,40.62131051
看,30475,看,30475,kàn/kān,1,76,424616,36.87842699
考,32771,考,32771,kǎo,1,495,82688,75.59235075
渴,28212,渴,28212,kě/jié/kài/hé,1,1972,7395,97.02328662
客,23458,客,23458,kè/qià,1,583,69108,79.03595676
课,35838,課,35506,kè,1,1208,21705,91.93958184
口,21475,口,21475,kǒu/kou,1,212,191936,56.98988948
块,22359,塊,22602,kuài,1,793,44475,85.12941783
快,24555,快,24555,kuài/kuai,1,366,116923,69.04063615
来,26469,來,20358,lái/lài,1,15,1079469,17.05691558
老,32769,老,32769,lǎo,1,179,223050,53.50756076
了,20102,了,20102,le/liǎo/liào,1,5,2128528,9.279052283
了,20102,瞭,30637,liǎo/liào,1,5,2128528,9.279052283
累,32047,累,32047,lèi/lěi/léi/lǜ/liè,1,1323,18017,93.10565582
冷,20919,冷,20919,lěng/líng/lǐng,1,700,53460,82.77341869
里,37324,裡,35041,li/lǐ,1,50,537795,30.51801178
里,37324,裏,35023,lǐ,1,50,537795,30.51801178
里,37324,里,37324,lǐ/li,1,50,537795,30.51801178
两,20004,兩,20841,liǎng/liàng,1,133,294600,47.3017289
零,38646,零,38646,líng/lián,1,1342,17675,93.2807633
六,20845,六,20845,liù/lù,1,478,85830,74.85422757
楼,27004,樓,27155,lóu/lǘ,1,876,38463,86.906229
路,36335,路,36335,lù/luò,1,305,141812,65.00955551
妈,22920,媽,23229,mā/ma,1,750,48622,84.0941184
马,39532,馬,39340,mǎ,1,276,155772,62.80012077
吗,21527,嗎,21966,ma/má/mà/mǎ,1,453,91639,73.71293551
买,20080,買,36023,mǎi,1,758,47788,84.29317938
慢,24930,慢,24930,màn/mán,1,822,42506,85.77776561
忙,24537,忙,24537,máng,1,827,42026,85.88688737
毛,27611,毛,27611,máo/mao/mào,1,623,64522,80.42168975
么,20040,麼,40636,me,1,63,477969,33.91905175
没,27809,沒,27794,méi/mò,1,72,428146,35.99908194
妹,22969,妹,22969,mèi/mei,1,1185,22723,91.67598163
门,38376,門,38272,mén/men,1,185,212769,54.17410506
们,20204,們,20497,men/mèn/mén,1,13,1169853,15.92825168
米,31859,米,31859,mǐ,1,575,69668,78.74885626
面,38754,面,38754,miàn/mian,1,74,425180,36.4393927
面,38754,麵,40629,miàn,1,74,425180,36.4393927
名,21517,名,21517,míng/mìng,1,203,198481,56.08701262
明,26126,明,26126,míng/ming/mèng,1,121,309873,45.43573974
拿,25343,拿,25343,ná,1,645,61798,81.13852447
哪,21738,哪,21738,nǎ/na/nuó/nǎi/nà/niè/né,1,652,60708,81.3596651
那,37027,那,37027,nà/nuó/nuò/nèi/nǎ/něi/né/nā,1,38,638538,26.82533445
奶,22902,奶,22902,nǎi/nai,1,1278,19219,92.67402447
男,30007,男,30007,nán,1,602,67405,79.70648806
南,21335,南,21335,nán/nā,1,307,139078,65.153521
难,38590,難,38627,nán/nan/nàn/nuó,1,295,144597,64.26889699
脑,33041,腦,33126,nǎo/nào,1,646,61647,81.17038273
呢,21602,呢,21602,ne/ní/nǐ/nī,1,383,112185,70.05067771
能,33021,能,33021,néng/tái/nái/nài/xióng,1,35,665358,25.82875721
你,20320,你,20320,nǐ,1,32,705205,24.76882005
年,24180,年,24180,nián/nìng,1,45,601887,29.0636859
您,24744,您,24744,nín,1,726,51094,83.4767183
牛,29275,牛,29275,niú,1,1018,30047,89.42679009
女,22899,女,22899,nǚ/nǜ/rǔ,1,224,185188,58.16340361
旁,26049,旁,26049,páng/pēng/bēng/bàng,1,981,32268,88.82943971
跑,36305,跑,36305,pǎo/páo/bó,1,864,39497,86.66472497
朋,26379,朋,26379,péng,1,882,38271,87.02511593
票,31080,票,31080,piào/piāo,1,910,36459,87.56619669
七,19971,七,19971,qī,1,530,76766,77.03846439
期,26399,期,26399,qī,1,253,169806,60.85253847
起,36215,起,36215,qǐ,1,75,424933,36.65899175
气,27668,氣,27683,qì/qi/xì,1,217,190687,57.48386837
汽,27773,汽,27773,qì/gài/yǐ,1,1200,22098,91.84917132
前,21069,前,21069,qián/qiǎn/jiǎn,1,93,381431,40.42647631
钱,38065,錢,37666,qián/qian/jiǎn,1,603,67304,79.74126977
请,35831,請,35531,qǐng/qìng/qíng,1,421,100226,72.12114117
球,29699,球,29699,qiú,1,628,63913,80.58783617
去,21435,去,21435,qù/qū,1,64,476270,34.165181
热,28909,熱,29105,rè,1,606,67051,79.84536941
人,20154,人,20154,rén/ren,1,7,1867999,11.28272127
认,35748,認,35469,rèn,1,213,191866,57.08904298
日,26085,日,26085,rì,1,101,363763,41.95831841
肉,32905,肉,32905,ròu/rù,1,1009,30820,89.28518373
三,19977,三,19977,sān,1,125,304272,46.06918808
山,23665,山,23665,shān,1,259,168142,61.37618031
商,21830,商,21830,shāng,1,402,105406,71.11356571
上,19978,上,19978,shàng/shang/shǎng,1,16,1069575,17.60965604
少,23569,少,23569,shǎo/shao/shào,1,233,183018,59.01957602
绍,32461,紹,32057,shào/chāo,1,1234,20681,92.22115481
身,36523,身,36523,shēn/juān,1,164,249725,51.67757188
什,20160,什,20160,shén/shen/shí,1,156,267869,50.61038681
生,29983,生,29983,shēng/sheng,1,34,682031,25.48491009
师,24072,師,24107,shī,1,333,128086,66.96033309
十,21313,十,21313,shí,1,112,338954,43.95077987
时,26102,時,26178,shí,1,25,833532,22.07593798
识,35782,識,35672,shi/shí/zhì,1,340,125220,67.4179577
事,20107,事,20107,shì/shi/zì,1,58,499172,32.66183444
试,35797,試,35430,shì,1,643,61912,81.07461934
视,35270,視,35222,shì/shi,1,438,96326,72.98318529
是,26159,是,26159,shì/shi/tí,1,3,2615490,7.022539449
手,25163,手,25163,shǒu/shou,1,143,280442,48.77983412
书,20070,書,26360,shū,1,282,151357,63.2766964
树,26641,樹,27193,shù,1,697,54037,82.69014032
谁,35841,誰,35504,shuí/shéi,1,648,61528,81.23397934
水,27700,水,27700,shuǐ,1,202,198933,55.98444059
睡,30561,睡,30561,shuì,1,964,33420,88.54175628
说,35828,說,35498,shuō,1,24,874977,21.64518103
四,22235,四,22235,sì,1,226,184874,58.35461153
送,36865,送,36865,sòng,1,656,60182,81.48450385
诉,35785,訴,35380,su/sù,1,595,68147,79.46133449
岁,23681,歲,27506,suì/suò,1,772,46835,84.63563583
他,20182,他,20182,tā/tuó,1,10,1595761,13.9016917
她,22905,她,22905,tā/jiě/chí,1,91,388612,40.02878483
太,22826,太,22826,tài/tai/tā,1,240,180490,59.67560374
体,20307,體,39636,tǐ/tī,1,149,273792,49.63721735
天,22825,天,22825,tiān/tian,1,78,419884,37.31377816
条,26465,條,26781,tiáo/tiāo,1,214,191280,57.18789364
听,21548,聽,32893,tīng/ting,1,285,148988,63.50818772
同,21516,同,21516,tóng/tong/tòng,1,69,437611,35.33171595
图,22270,圖,22294,tú,1,476,85957,74.76545267
外,22806,外,22806,wài,1,131,295645,46.99672955
玩,29609,玩,29609,wán,1,1072,27043,90.22537299
晚,26202,晚,26202,wǎn,1,641,62142,81.01060878
网,32593,網,32178,wǎng,1,605,67118,79.81071845
忘,24536,忘,24536,wàng,1,1056,27961,89.99813637
文,25991,文,25991,wén,1,148,274222,49.49572572
问,38382,問,21839,wèn/wen,1,137,288237,47.90440631
我,25105,我,25105,wǒ,1,9,1690048,13.07702613
五,20116,五,20116,wǔ,1,279,154316,63.04057831
午,21320,午,21320,wǔ/wu,1,1004,30985,89.20532131
西,35199,西,35199,xi/xī,1,167,243619,52.05694282
息,24687,息,24687,xi/xī,1,428,98447,72.47941487
习,20064,習,32722,xí,1,676,57329,82.0906432
洗,27927,洗,27927,xǐ/xiǎn,1,1247,20229,92.35828271
喜,21916,喜,21916,xǐ/xī/chì,1,668,58449,81.85138719
系,31995,係,20418,xì,1,216,190769,57.38532416
系,31995,繫,32363,jì/xì,1,216,190769,57.38532416
系,31995,系,31995,xì/xi/jì,1,216,190769,57.38532416
下,19979,下,19979,xià/xia,1,42,621185,28.1218052
先,20808,先,20808,xiān,1,188,210628,54.5024817
现,29616,現,29694,xiàn,1,70,433960,35.55598003
想,24819,想,24819,xiǎng,1,99,368819,41.57989887
小,23567,小,23567,xiǎo,1,83,410987,38.38365568
校,26657,校,26657,xiào/jiào/jiǎo/qiāo,1,633,63200,80.75188754
笑,31505,笑,31505,xiào,1,346,122902,67.80305151
些,20123,些,20123,xiē/suò/suō,1,86,400528,39.00721999
写,20889,寫,23531,xiě/xiè,1,448,93710,73.4734149
谢,35874,謝,35613,xiè/xie,1,897,37550,87.3181052
新,26032,新,26032,xīn,1,161,253921,51.28927349
星,26143,星,26143,xīng,1,537,76320,77.31532737
行,34892,行,34892,xíng/háng/xìng/hàng/héng,1,53,531848,31.34591345
兴,20852,興,33288,xìng/xīng/xìn,1,531,76760,77.07813282
休,20241,休,20241,xiū/xù,1,1082,26539,90.36374842
学,23398,學,23416,xué/huá/jiào,1,66,464261,34.64634776
样,26679,樣,27171,yàng/xiàng,1,88,398149,39.41953288
要,35201,要,35201,yào/yāo/yǎo,1,26,811011,22.49505641
爷,29239,爺,29242,ye/yé,1,1007,30930,89.25329085
也,20063,也,20063,yě/yí,1,31,710259,24.40438059
页,39029,頁,38913,yè/xié,1,1128,24861,90.97453315
一,19968,一,19968,yī,1,2,3050722,5.670893097
衣,34915,衣,34915,yī/yì,1,725,51134,83.45031368
医,21307,醫,37291,yī/yǐ,1,482,84620,75.03039084
影,24433,影,24433,yǐng,1,390,108862,70.44841105
用,29992,用,29992,yòng/yong,1,51,535480,30.79473988
友,21451,友,21451,you/yǒu,1,594,68196,79.42611714
有,26377,有,26377,yǒu/yòu/wěi,1,8,1782004,12.20363445
右,21491,右,21491,yòu,1,783,45561,84.89757251
雨,38632,雨,38632,yǔ/yù,1,928,35370,87.90142487
语,35821,語,35486,yǔ/yù,1,493,82805,75.5068657
元,20803,元,20803,yuán,1,370,116488,69.28184096
远,36828,遠,36960,yuǎn/yuàn,1,386,110455,70.22220696
院,38498,院,38498,yuàn,1,338,126115,67.28830664
月,26376,月,26376,yuè/yue/rù,1,169,240566,52.30575729
再,20877,再,20877,zài,1,242,179607,59.86144742
在,22312,在,22312,zài,1,6,2009181,10.31736716
早,26089,早,26089,zǎo,1,462,89623,74.1325144
怎,24590,怎,24590,zěn,1,382,112294,69.99270217
站,31449,站,31449,zhàn/zhān,1,544,75402,77.58990255
找,25214,找,25214,zhǎo/huá,1,466,88247,74.31610697
这,36825,這,36889,zhè/yàn/zhèi,1,11,1552042,14.70376393
着,30528,著,33879,zhe/zháo/zhù/zhuó/zhāo/chú,1,41,626326,27.80078603
真,30495,真,30495,zhēn,1,204,198416,56.18955106
正,27491,正,27491,zhèng/zheng/zhēng,1,129,296810,46.69088887
知,30693,知,30693,zhī/zhì,1,123,306384,45.75419721
中,20013,中,20013,zhōng/zhòng,1,14,1104541,16.49906205
重,37325,重,37325,zhòng/chóng/tóng,1,140,282843,48.34407883
住,20303,住,20303,zhù,1,309,138503,65.2966865
准,20934,準,28310,zhǔn/zhuó,1,379,113877,69.81754663
准,20934,准,20934,zhǔn,1,379,113877,69.81754663
桌,26700,桌,26700,zhuō,1,1193,22336,91.76892751
子,23376,子,23376,zi/zǐ,1,37,640640,26.4953475
字,23383,字,23383,zì/zi,1,393,108218,70.61657552
走,36208,走,36208,zǒu,1,207,193619,56.49188122
最,26368,最,26368,zuì/cuō,1,139,283689,48.19790977
昨,26152,昨,26152,zuó,1,1475,14406,94.3711789
左,24038,左,24038,zuǒ,1,782,45568,84.87402727
作,20316,作,20316,zuò/zuō/zuó,1,49,542791,30.24008731
坐,22352,坐,22352,zuò,1,611,66293,80.01731365
做,20570,做,20570,zuò,1,246,175580,60.22750546
啊,21834,啊,21834,a/ā/è/á/ǎ/à,2,753,48244,84.16912873
安,23433,安,23433,ān,2,232,183210,58.92499504
般,33324,般,33324,bān/pán/bǎn/bō,2,629,63739,80.62077553
板,26495,板,26495,bǎn,2,930,35332,87.93794866
板,26495,闆,38342,pǎn/bǎn,2,930,35332,87.93794866
办,21150,辦,36774,bàn,2,367,116904,69.1010504
饱,39281,飽,39165,bǎo,2,1998,7059,97.12026393
报,25253,報,22577,bào/fù,2,234,182411,59.11384331
背,32972,背,32972,bèi/bēi,2,787,45181,84.99117315
笔,31508,筆,31558,bǐ,2,956,34057,88.40279379
必,24517,必,24517,bì,2,248,174963,60.40860557
变,21464,變,35722,biàn,2,225,185121,58.2590714
便,20415,便,20415,biàn/pián/biān,2,271,159479,62.39396228
遍,36941,遍,36941,biàn,2,1012,30545,89.33266285
表,34920,表,34920,biǎo,2,177,226768,53.27615523
表,34920,錶,37686,biǎo,2,177,226768,53.27615523
部,37096,部,37096,bù/pǒu,2,84,403066,38.5919542
才,25165,才,25165,cái/cai/zāi,2,235,181725,59.20775609
参,21442,參,21443,cān/shēn/sān/cēn/càn/sǎn,2,507,80663,76.09962187
餐,39184,餐,39184,cān/sūn,2,1465,14641,94.296382
草,33609,草,33609,cǎo/zào,2,789,44612,85.03743111
层,23618,層,23652,céng,2,699,53705,82.74579136
查,26597,查,26597,chá/zhā/chái,2,459,90039,73.99339325
长,38271,長,38263,zhǎng/cháng/zhàng,2,109,342148,43.42391381
超,36229,超,36229,chāo/chǎo/chào/tiào,2,754,48218,84.19404707
晨,26216,晨,26216,chen/chén,2,1388,16235,93.68601586
称,31216,稱,31281,chēng/chèn/chèng,2,449,93638,73.52180563
成,25104,成,25104,chéng/cheng,2,59,499007,32.91971384
楚,26970,楚,26970,chu/chǔ,2,859,39846,86.56225836
处,22788,處,34389,chù/chǔ/chu/jù,2,206,194237,56.3918218
船,33337,船,33337,chuán,2,614,65883,80.11960403
吹,21561,吹,21561,chuī/chuì,2,1390,16180,93.70273955
春,26149,春,26149,chūn/chǔn,2,921,36027,87.77213195
词,35789,詞,35422,cí,2,959,33669,88.45514722
带,24102,帶,24118,dài,2,342,124619,67.54688732
单,21333,單,21934,dān/dǎn/chán/shàn/chǎn/dàn/zhàn/tán,2,389,109359,70.39215279
但,20294,但,20294,dàn/tǎn/yàn,2,95,374459,40.81482535
当,24403,當,30070,dāng/dàng/dang,2,71,429274,35.77782245
倒,20498,倒,20498,dào/dǎo,2,608,66634,79.91436074
灯,28783,燈,29128,dēng,2,1115,25401,90.80600848
低,20302,低,20302,dī,2,592,68424,79.35553669
典,20856,典,20856,diǎn/tiǎn,2,1044,28860,89.82183202
掉,25481,掉,25481,diào/nuó,2,849,40541,86.35458825
定,23450,定,23450,dìng,2,77,422538,37.09678835
冬,20908,冬,20908,dōng,2,1384,16368,93.65231372
懂,25026,懂,25026,dǒng,2,1211,21117,91.97276307
度,24230,度,24230,dù/du/duó/zhái,2,184,214376,54.0641492
短,30701,短,30701,duǎn,2,889,37834,87.16262626
段,27573,段,27573,duàn,2,567,71172,78.45866591
队,38431,隊,38538,duì/zhuì/suì,2,268,162938,62.14536021
而,32780,而,32780,ér/néng,2,36,649239,26.16427427
发,21457,發,30332,fā/fa/fà/bō,2,47,572904,29.66461864
发,21457,髮,39662,fà,2,47,572904,29.66461864
法,27861,法,27861,fǎ/fa,2,65,466816,34.40642457
份,20221,份,20221,fèn/fen/bīn,2,784,45408,84.92103869
封,23553,封,23553,fēng/biǎn,2,871,38954,86.80647396
复,22797,複,35079,fù/fú,2,426,98822,72.37753637
复,22797,復,24489,fù,2,426,98822,72.37753637
该,35813,該,35442,gāi,2,319,136053,66.00534517
改,25913,改,25913,gǎi,2,350,121023,68.05440701
感,24863,感,24863,gǎn/hàn,2,243,178383,59.95363311
刚,21018,剛,21083,gāng,2,621,64622,80.3549826
更,26356,更,26356,gèng/gēng,2,221,187378,57.87505405
公,20844,公,20844,gōng,2,115,318626,44.4573337
共,20849,共,20849,gòng/gōng/gǒng/hóng,2,330,128824,66.76153154
狗,29399,狗,29399,gǒu,2,1281,19093,92.7037267
够,22815,夠,22816,gòu,2,538,76181,77.35469658
故,25925,故,25925,gù,2,572,70067,78.64067298
顾,39038,顧,39015,gù,2,815,42735,85.62370162
观,35266,觀,35264,guān/guàn,2,334,127796,67.02637617
惯,24815,慣,24931,guàn,2,1226,20880,92.13535607
广,24191,廣,24291,guǎng/guàng/kuàng/guāng,2,468,87900,74.40708337
海,28023,海,28023,hǎi,2,189,209302,54.61064586
喊,21898,喊,21898,hǎn/kàn/jiān,2,1183,22779,91.65248135
合,21512,合,21512,hé/gě,2,171,239277,52.55347514
河,27827,河,27827,hé,2,574,69687,78.71285288
黑,40657,黑,40657,hēi,2,519,78896,76.59549529
红,32418,紅,32005,hóng/gōng/jiàng,2,502,81852,75.89027221
忽,24573,忽,24573,hū,2,912,36378,87.60383001
湖,28246,湖,28246,hú,2,918,36112,87.71624732
护,25252,護,35703,hù,2,529,76993,76.99879286
划,21010,劃,21123,huá/huà/hua,2,522,78648,76.71756511
划,21010,划,21010,huà/huá/guò/guǒ,2,522,78648,76.71756511
画,30011,畫,30059,huà,2,883,38263,87.04488968
换,25442,換,25563,huàn,2,824,42292,85.82158692
黄,40644,黃,40643,huáng,2,561,72199,78.23656923
活,27963,活,27963,huó/huo/guō,2,219,189876,57.68014181
或,25110,或,25110,huò/yù,2,160,260786,51.15805089
级,32423,級,32026,jí,2,415,102018,71.80921897
急,24613,急,24613,jí,2,657,60141,81.51558383
己,24049,己,24049,jǐ/qǐ,2,162,250894,51.41893178
计,35745,計,35336,jì/ji,2,251,171949,60.67654626
际,38469,際,38555,jì,2,423,99412,72.22408581
绩,32489,績,32318,jì,2,1547,12789,94.87875544
加,21152,加,21152,jiā,2,166,243648,51.93104414
检,26816,檢,27298,jiǎn,2,731,50413,83.6074608
件,20214,件,20214,jiàn/móu,2,250,172895,60.58768557
健,20581,健,20581,jiàn,2,979,32399,88.7960373
讲,35762,講,35611,jiǎng,2,555,73220,78.01153669
交,20132,交,20132,jiāo,2,320,135727,66.07548687
角,35282,角,35282,jiǎo/jué/lù/gǔ,2,736,50081,83.7371532
饺,39290,餃,39171,jiǎo/jiào,2,3650,856,99.61568653
脚,33050,腳,33139,jiǎo,2,790,44529,85.06044303
接,25509,接,25509,jiē/xié/shà/chā,2,247,175473,60.31818729
街,34903,街,34903,jiē,2,1101,25866,90.62095961
节,33410,節,31680,jié/jiē,2,514,80074,76.39018173
结,32467,結,32080,jié/jiē/jì,2,236,181674,59.30164251
借,20511,借,20511,jiè,2,984,32027,88.87921542
斤,26020,斤,26020,jīn,2,1866,8365,96.58940312
近,36817,近,36817,jìn,2,374,115441,69.5210856
经,32463,經,32147,jīng/jing/jìng,2,62,481338,33.67204447
睛,30555,睛,30555,jing/jīng/jǐng,2,934,35082,88.01062312
静,38745,靜,38748,jìng/jing,2,722,51401,83.37092825
久,20037,久,20037,jiǔ,2,637,62588,80.88192567
酒,37202,酒,37202,jiǔ,2,797,44069,85.22093841
举,20030,舉,33289,jǔ/ju,2,586,68924,79.14288736
句,21477,句,21477,jù/gōu/gòu/qú,2,707,52891,82.96567103
卡,21345,卡,21345,kǎ/qiǎ,2,717,52244,83.2371641
康,24247,康,24247,kāng/kàng,2,900,37302,87.37604663
靠,38752,靠,38752,kào,2,808,42988,85.46882577
科,31185,科,31185,kē/kè,2,277,155750,62.88061006
可,21487,可,21487,kě/gē/kè,2,30,723108,24.03732929
克,20811,克,20811,kè,2,262,166044,61.63499716
刻,21051,刻,21051,kè/kēi,2,618,65015,80.25454076
空,31354,空,31354,kōng/kòng/kǒng,2,272,158539,62.47589288
哭,21741,哭,21741,kū,2,1210,21444,91.96185012
筷,31607,筷,31607,kuài,2,3110,1652,99.27790853
拉,25289,拉,25289,lā/la/lá/lǎ/là,2,324,134051,66.35294932
蓝,34013,藍,34253,lán,2,1190,22437,91.73423107
篮,31726,籃,31811,lán,2,2357,4490,98.17732622
